rxn_id,enzyme_id,group,u_sub_27C,u_opt_37C,u_supra_44.65C
G3PAT160No1,P0A6A8,default,0.00033400772467967634,0.00010227933002856466,0.00012629955322880453
G3PAT161No1,P0A6A8,default,0.00039367626232577783,0.00012055093754925976,0.00014886223393849795
AGPAT160No1,P26647,default,2.1587080912182546e-06,1.3924958222485776e-06,1.419480435905809e-06
3OAS140No1,P0A953,default,0.07305598500078067,0.05118144156235542,0.058892720377003674
3OAR140No1,P0AEK2,default,0.006565334716512117,0.004239506774401652,0.004368837907048685
PE160abcppNo1,P60752,default,2.571210834797849e-05,1.7777216060778853e-05,1.9037945813688746e-05
PE161abcppNo1,P60752,default,3.030542697973571e-05,2.0953012329511087e-05,2.2438964121208292e-05
ACONTaNo1,P36683,default,0.029331829556591707,0.03402398329500187,0.03359029623152233
PSSA160No1,P23830,default,1.789492629604278e-05,1.2844660936099373e-05,1.3268485190714566e-05
AGPAT161No1,P26647,default,2.544348738096497e-06,1.6412571030589611e-06,1.673062361021399e-06
NADH16ppNo1,P0AFC3,default,0.0027039432742059304,0.0017434745451000585,0.001658784947091113
THRANo1,P0A825,default,0.0003815967518008233,0.00017511864076204625,0.00014359911355919685
K2L4AabctexNo1,P0A9V1,default,5.309674951289275e-06,2.6109466638906173e-06,2.2363888769619704e-06
SCYSDSNo1,P77444,default,0.00011891106445405604,6.93407420084744e-05,7.486598531838245e-05
S2FE2SSNo1,P77444,default,3.2988878397672987e-06,1.9236841555697225e-06,2.0769681081648476e-06
MECDPDH5No2,P61949,default,0.0005817538150314328,0.00035331913149661963,0.00037799772171704965
RNTR1c2No3,P61949,default,1.8821375555802763e-06,1.143086971348634e-06,1.222929166229827e-06
RNTR2c2No4,P61949,default,1.943350544183763e-06,1.1802637279265477e-06,1.262702640221327e-06
RNTR3c2No4,P61949,default,1.943350544183763e-06,1.1802637279265475e-06,1.262702640221327e-06
RNTR4c2No3,P61949,default,1.8821375555802763e-06,1.1430869713486343e-06,1.222929166229827e-06
FLDR2No2,P61949,default,9.399951433084974e-06,5.708914304702132e-06,6.107669832409959e-06
