rxn_id,enz,sub,bigg,mnx,Temp_C,Temp_K
SSALyNo1,P76149,Succinic semialdehyde,sucsal,MNXM172,42.5,315.65
SSALyNo1,P76149,Succinic semialdehyde,sucsal,MNXM172,48.75,321.9
SSALyNo1,P76149,Succinic semialdehyde,sucsal,MNXM172,55.0,328.15
SSALyNo2,P25526,Succinic semialdehyde,sucsal,MNXM172,5.0,278.15
SSALyNo2,P25526,Succinic semialdehyde,sucsal,MNXM172,11.25,284.4
SSALyNo2,P25526,Succinic semialdehyde,sucsal,MNXM172,17.5,290.65
SSALyNo2,P25526,Succinic semialdehyde,sucsal,MNXM172,23.75,296.9
SSALyNo2,P25526,Succinic semialdehyde,sucsal,MNXM172,30.0,303.15
SSALyNo2,P25526,Succinic semialdehyde,sucsal,MNXM172,36.25,309.4
SSALyNo2,P25526,Succinic semialdehyde,sucsal,MNXM172,42.5,315.65
SSALyNo2,P25526,Succinic semialdehyde,sucsal,MNXM172,48.75,321.9
SSALyNo2,P25526,Succinic semialdehyde,sucsal,MNXM172,55.0,328.15
SUCptsppNo1,P08839,Sucrose,sucr,MNXM167,5.0,278.15
SUCptsppNo1,P08839,Sucrose,sucr,MNXM167,11.25,284.4
SUCptsppNo1,P08839,Sucrose,sucr,MNXM167,17.5,290.65
SUCptsppNo1,P08839,Sucrose,sucr,MNXM167,23.75,296.9
SUCptsppNo1,P08839,Sucrose,sucr,MNXM167,30.0,303.15
SUCptsppNo1,P08839,Sucrose,sucr,MNXM167,36.25,309.4
SUCptsppNo1,P08839,Sucrose,sucr,MNXM167,42.5,315.65
SUCptsppNo1,P08839,Sucrose,sucr,MNXM167,48.75,321.9
SUCptsppNo1,P08839,Sucrose,sucr,MNXM167,55.0,328.15
TSULabcppNo1,P0AEB0,Thiosulfate,tsul,MNXM323,5.0,278.15
TSULabcppNo1,P0AEB0,Thiosulfate,tsul,MNXM323,11.25,284.4
TSULabcppNo1,P0AEB0,Thiosulfate,tsul,MNXM323,17.5,290.65
TSULabcppNo1,P0AEB0,Thiosulfate,tsul,MNXM323,23.75,296.9
TSULabcppNo1,P0AEB0,Thiosulfate,tsul,MNXM323,30.0,303.15
TSULabcppNo1,P0AEB0,Thiosulfate,tsul,MNXM323,36.25,309.4
TSULabcppNo1,P0AEB0,Thiosulfate,tsul,MNXM323,42.5,315.65
TSULabcppNo1,P0AEB0,Thiosulfate,tsul,MNXM323,48.75,321.9
TSULabcppNo1,P0AEB0,Thiosulfate,tsul,MNXM323,55.0,328.15
TSULabcppNo2,P0AEB0,Thiosulfate,tsul,MNXM323,5.0,278.15
TSULabcppNo2,P0AEB0,Thiosulfate,tsul,MNXM323,11.25,284.4
TSULabcppNo2,P0AEB0,Thiosulfate,tsul,MNXM323,17.5,290.65
TSULabcppNo2,P0AEB0,Thiosulfate,tsul,MNXM323,23.75,296.9
TSULabcppNo2,P0AEB0,Thiosulfate,tsul,MNXM323,30.0,303.15
TSULabcppNo2,P0AEB0,Thiosulfate,tsul,MNXM323,36.25,309.4
TSULabcppNo2,P0AEB0,Thiosulfate,tsul,MNXM323,42.5,315.65
TSULabcppNo2,P0AEB0,Thiosulfate,tsul,MNXM323,48.75,321.9
TSULabcppNo2,P0AEB0,Thiosulfate,tsul,MNXM323,55.0,328.15
DDGALKNo1,P31459,2-Dehydro-3-deoxy-D-galactonate,2dh3dgal,MNXM1627,5.0,278.15
DDGALKNo1,P31459,2-Dehydro-3-deoxy-D-galactonate,2dh3dgal,MNXM1627,11.25,284.4
