variant,A_ETC_level,A_ETC_over_Astar,A_ETC_nm2_per_gDW,strain,role,growth_scale,peak_mu_model,peak_mu,peak_T_C,Topt_C,rmax,CTmax_C,CTmin_C,Ea_eV,thermal_limit_C,mu_40C,fit_r2,plateau_1pct_width_C,plateau_0p01pct_width_C
chain_only,0.2xA*,0.2,5.247358019675827e+16,cduobushaemulonii_draft,predict,7.670305186259776,0.07379667744647829,0.5660430377464623,36.0,36.0,0.5660430377464623,53.91251136509637,17.174083710822583,1.2652379126173285,53.672607421875,0.5352716819545029,-0.30332919437720607,3.0,0.0
chain_only,0.2xA*,0.2,5.247358019675827e+16,cparapsilosis_iDC1003,predict,7.670305186259776,0.05049574385439172,0.38731776597038603,34.5,34.5,0.38731776597038603,49.98317278446362,17.50148739699157,1.3006388837895326,49.11346435546875,0.32480714266341365,0.019482466625901917,2.0,0.0
chain_only,0.1xA*,0.1,2.6236790098379136e+16,cauris_iRV973,calibrate_on,7.670305186259767,0.10414187970394319,0.7987999999999962,38.0,38.0,0.7987999999999962,53.58161416025092,19.26367387594723,1.3051499730390694,53.46923828125,0.7836018748547864,0.2538983491273489,2.5,0.0
chain_only,0.1xA*,0.1,2.6236790098379136e+16,chaemulonii_draft,predict,7.670305186259767,0.08942950998142188,0.6859516342151698,39.0,39.0,0.6859516342151698,53.285916586802315,20.542371185523244,1.317564254329062,53.0885009765625,0.6839480597188018,-2.032087694385561,2.5,0.5
chain_only,0.1xA*,0.1,2.6236790098379136e+16,cduobushaemulonii_draft,predict,7.670305186259767,0.07379667744647905,0.5660430377464675,36.0,36.0,0.5660430377464675,53.912511365096364,17.174089431285367,1.2652407449166092,53.672607421875,0.5352716819545044,-0.3033291943772185,3.0,0.0
chain_only,0.1xA*,0.1,2.6236790098379136e+16,cparapsilosis_iDC1003,predict,7.670305186259767,0.0495209032406803,0.3798404409552582,34.5,34.5,0.3798404409552582,49.77988490822008,17.5559081389148,1.3019905384233004,48.89666748046875,0.31689683072553965,-0.002367185230338187,2.0,0.0
chain_only,0.05xA*,0.05,1.3118395049189568e+16,cauris_iRV973,calibrate_on,7.670305186259799,0.10414187970394315,0.7987999999999992,38.0,38.0,0.7987999999999992,53.581614160250915,19.26367387594557,1.305149973038874,53.46923828125,0.7836018748547899,0.2538983491272825,2.5,0.0
chain_only,0.05xA*,0.05,1.3118395049189568e+16,chaemulonii_draft,predict,7.670305186259799,0.08942950998142157,0.6859516342151704,39.0,39.0,0.6859516342151704,53.285916578560986,20.542370981206968,1.3175642543290629,53.0885009765625,0.6839480597188025,-2.032087694385569,2.5,0.5
chain_only,0.05xA*,0.05,1.3118395049189568e+16,cduobushaemulonii_draft,predict,7.670305186259799,0.07379667744647865,0.5660430377464667,36.0,36.0,0.5660430377464667,53.912511365096364,17.174089431285605,1.265240744916624,53.672607421875,0.5352716819545055,-0.30332919437721984,3.0,0.0
chain_only,0.05xA*,0.05,1.3118395049189568e+16,cparapsilosis_iDC1003,predict,7.670305186259799,0.04903348293382543,0.37610177844770254,34.5,34.5,0.37610177844770254,49.67680835735483,17.58415136648868,1.307982064200569,48.78826904296875,0.3129416747565991,-0.015870500740202242,2.0,0.0
chain_only,0xA*,0.0,0.0,cauris_iRV973,calibrate_on,7.670450345015818,0.10413990888019437,0.7988000000000027,38.0,38.0,0.7988000000000027,53.58050744458667,19.263620228630256,1.3051499730391245,53.46923828125,0.7835964640468108,0.2539566097416083,2.5,0.0
chain_only,0xA*,0.0,0.0,chaemulonii_draft,predict,7.670450345015818,0.08942950998142193,0.6859646156915934,39.0,39.0,0.6859646156915934,53.28575804493334,20.54237098120698,1.3175642543290609,53.0885009765625,0.683961003278041,-2.0321217191178667,2.5,0.5
chain_only,0xA*,0.0,0.0,cduobushaemulonii_draft,predict,7.670450345015818,0.07379419297034685,0.5660346929295609,36.0,36.0,0.5660346929295609,53.912509492007075,17.174004187062284,1.265216499826305,53.672607421875,0.5352583484516309,-0.3032758625400256,3.0,0.0
chain_only,0xA*,0.0,0.0,cparapsilosis_iDC1003,predict,7.670450345015818,0.048497274629133495,0.3719959369113639,34.5,34.5,0.3719959369113639,49.571781471564755,17.645300190797737,1.3270283171719681,48.66632080078125,0.3086726391018961,-0.03065637719486447,2.0,0.0
