rung,experiment,strain,quantity,before,after,abs_change,rel_change
B1,transfer_candida_B1_unfolding,cauris_iRV973,mu_28C,0.4021831260775765,0.4021831260775715,-4.9960036108132044e-15,1.2422210895664312e-14
B1,transfer_candida_B1_unfolding,cauris_iRV973,mu_30C,0.5329391014700421,0.5329391014700658,2.375877272697835e-14,4.4580652201054335e-14
B1,transfer_candida_B1_unfolding,cauris_iRV973,mu_32C,0.6485431421916842,0.6485431421916464,-3.774758283725532e-14,5.820365736917869e-14
B1,transfer_candida_B1_unfolding,cauris_iRV973,mu_34C,0.7347388317640698,0.7347388317640603,-9.547918011776346e-15,1.2994982161011267e-14
B1,transfer_candida_B1_unfolding,cauris_iRV973,mu_36C,0.7830581303680273,0.7830581303680296,2.3314683517128287e-15,2.9773886015551212e-15
B1,transfer_candida_B1_unfolding,cauris_iRV973,mu_38C,0.7987999999999995,0.7988000000000051,5.551115123125783e-15,6.949317880728325e-15
B1,transfer_candida_B1_unfolding,cauris_iRV973,mu_40C,0.7879877047839091,0.7879877047838975,-1.1657341758564144e-14,1.4793811740705968e-14
B1,transfer_candida_B1_unfolding,cauris_iRV973,mu_42C,0.7557828056855256,0.75578280568551,-1.554312234475219e-14,2.0565594014346425e-14
B1,transfer_candida_B1_unfolding,cauris_iRV973,mu_44C,0.7044047311059395,0.7044047311059306,-8.881784197001252e-15,1.2608921838239996e-14
B1,transfer_candida_B1_unfolding,cauris_iRV973,model_mu_22C,0.0508360742334381,0.0508360742334513,1.3204715099135456e-14,2.5975088159836464e-13
B1,transfer_candida_B1_unfolding,cauris_iRV973,model_mu_24C,0.0894280430782179,0.089428043078218,9.71445146547012e-17,1.0862869331685376e-15
B1,transfer_candida_B1_unfolding,cauris_iRV973,model_mu_26C,0.1437286701233258,0.143728670123326,1.942890293094024e-16,1.3517764350194954e-15
B1,transfer_candida_B1_unfolding,cauris_iRV973,model_mu_28C,0.2097240527786577,0.2097240527786578,1.1102230246251565e-16,5.293732454221088e-16
B1,transfer_candida_B1_unfolding,cauris_iRV973,model_mu_30C,0.2779085968488752,0.2779085968488912,1.5987211554602254e-14,5.75268693947456e-14
B1,transfer_candida_B1_unfolding,cauris_iRV973,model_mu_32C,0.338191951285419,0.3381919512854038,-1.5210055437364645e-14,4.497462278316622e-14
B1,transfer_candida_B1_unfolding,cauris_iRV973,model_mu_36C,0.4083366854888484,0.4083366854888549,6.494804694057166e-15,1.590551357461743e-14
B1,transfer_candida_B1_unfolding,cauris_iRV973,model_mu_38C,0.4165455050127527,0.416545505012761,8.271161533457416e-15,1.9856561729562273e-14
B1,transfer_candida_B1_unfolding,cauris_iRV973,model_mu_40C,0.4109072814635122,0.4109072814635114,-7.771561172376096e-16,1.8913174633207847e-15
B1,transfer_candida_B1_unfolding,cauris_iRV973,model_mu_42C,0.3941135834679927,0.3941135834679897,-2.9976021664879227e-15,7.60593466510491e-15
B1,transfer_candida_B1_unfolding,cauris_iRV973,model_mu_44C,0.3673217632096845,0.3673217632096847,1.6653345369377348e-16,4.533721395612172e-16
B1,transfer_candida_B1_unfolding,chaemulonii_draft,growth_scale,1.9176776375861837,1.9176776375861588,-2.4868995751603507e-14,1.2968287925027154e-14
B1,transfer_candida_B1_unfolding,chaemulonii_draft,peak_mu,0.6885384201265197,0.6885384201265106,-9.103828801926284e-15,1.3221961964378757e-14
